dim,ga_mean,ga_std,gb_mean,gb_std,ga_minus_b_mean,ga_minus_b_std,count
359,7.654030014236923e-06,1.6322701412718743e-05,7.373634616669733e-06,2.2523214283864945e-05,2.803950849283865e-07,2.4309247237397358e-05,203
360,2.680541683730553e-06,5.697251708625117e-06,1.9007392211278784e-06,5.79160223423969e-06,7.798018941684859e-07,5.23288917975151e-06,203
361,1.3061759318588884e-06,2.5764998099475633e-06,2.8266738354432164e-06,8.684555723448284e-06,-1.5204975625238148e-06,7.973206265887711e-06,203
362,6.500198423964321e-07,1.3836979633197188e-06,1.0916609198829974e-06,3.3427338621550007e-06,-4.4164110590827477e-07,2.9342911602725508e-06,203
363,5.204764192967559e-07,1.2659616004384588e-06,1.1369148751327884e-06,2.92672166324337e-06,-6.164384558360325e-07,2.7264288746664533e-06,203
364,5.895078629691852e-07,1.5800968640178326e-06,5.069874191576673e-07,1.798446419343236e-06,8.252023775412454e-08,1.9058149973716354e-06,203
365,7.350487862822774e-07,1.9686526684381533e-06,9.152504958365171e-07,2.3924585548229516e-06,-1.8020180903022265e-07,2.372922608628869e-06,203
366,9.445234354643617e-07,2.0800284801225644e-06,1.2066259387211176e-06,3.3383471418346744e-06,-2.621023327264993e-07,3.0564231110474793e-06,203
367,5.059051090938738e-06,9.654666428104974e-06,9.711682196211768e-07,3.5502757782523986e-06,4.087883098691236e-06,8.838551366352476e-06,203
368,7.167137709984672e-07,1.8920637785413419e-06,6.035837486706441e-06,1.6088890333776362e-05,-5.319129741110373e-06,1.573233566887211e-05,203
